gender,salary,color,followers
female,39.77,purple,20
female,68.85,yellow,39
male,59.6,blue,20
female,36.08,green,14
female,97.21,purple,18
male,52.62,red,21
female,25.27,purple,13
male,111.54,red,19
female,60.92,pink,13
female,58.21,blue,20
male,75.24,blue,33
female,24.26,pink,16
female,44.77,red,37
male,53.11,red,31
female,69.45,red,24
male,51.92,red,27
male,60.89,yellow,30
male,71.72,blue,24
female,94.87,purple,46
male,59.88,purple,26
female,45.59,pink,14
female,89.27,pink,37
male,61.54,red,23
female,79.46,yellow,21
female,98.29,pink,84
female,69.11,yellow,17
female,70.87,blue,29
female,31.76,pink,17
male,51.24,blue,26
female,35.89,pink,25
female,67.07,blue,17
female,30.62,purple,18
female,38.6,purple,31
male,7.64,blue,17
female,64.78,green,24
male,58.19,blue,31
male,64.12,purple,18
male,65.81,blue,20
female,53.37,pink,47
female,29.98,green,21
male,67.84,red,15
female,35.24,yellow,23
female,70.16,yellow,38
female,43.6,blue,28
female,108.28,purple,30
male,48.31,blue,23
male,58.39,blue,16
female,59.72,pink,18
male,22.57,blue,14
female,42.48,pink,37
male,32.75,red,18
male,92.69,purple,23
female,44.93,green,25
male,48.63,blue,29
female,0.0,pink,17
female,0.0,green,14
male,24.38,yellow,21
male,58.68,yellow,13
female,50.35,yellow,14
female,50.89,pink,46
male,60.22,blue,21
male,57.6,red,22
male,76.36,blue,29
male,57.96,blue,19
male,57.22,blue,17
female,48.38,purple,42
female,46.71,red,14
male,77.65,blue,21
female,53.27,red,18
female,73.39,purple,28
male,54.12,blue,16
male,90.32,red,22
female,31.98,red,30
female,59.74,yellow,32
female,54.73,green,14
male,31.21,blue,19
female,32.46,red,14
male,20.63,blue,25
female,38.09,blue,15
male,52.55,red,30
female,40.29,purple,21
female,50.48,yellow,14
male,36.05,purple,16
female,88.51,purple,14
male,73.07,blue,18
female,65.28,pink,25
female,62.97,yellow,21
male,68.63,blue,21
female,25.9,pink,18
male,23.17,yellow,17
female,52.04,purple,13
female,76.06,purple,16
male,26.09,red,25
male,0.0,red,25
male,43.74,red,16
male,14.97,red,15
female,104.12,purple,17
female,33.07,pink,19
female,66.23,pink,26
male,75.13,blue,26
female,45.44,yellow,42
female,29.48,pink,15
female,92.31,purple,37
female,50.79,purple,14
male,26.06,blue,14
male,33.38,red,16
female,68.76,red,17
male,12.68,yellow,14
male,29.34,red,18
female,64.03,green,24
female,50.47,pink,14
male,28.25,blue,30
male,93.71,blue,26
female,36.34,pink,18
male,48.05,blue,18
male,48.02,blue,37
female,61.88,pink,15
male,3.94,purple,15
male,87.39,blue,17
male,73.12,blue,29
female,56.96,pink,26
male,71.85,red,60
female,46.08,purple,16
female,49.69,purple,25
female,42.35,pink,25
female,39.84,blue,16
female,71.02,green,27
male,49.94,yellow,15
male,33.4,purple,23
male,41.24,blue,32
male,79.08,red,20
female,46.88,green,13
female,9.16,yellow,33
male,68.82,blue,15
male,21.56,purple,15
female,124.95,blue,48
male,57.62,red,19
female,70.42,pink,33
female,57.98,blue,20
male,44.7,blue,16
female,18.51,pink,36
female,60.87,green,26
male,57.3,blue,15
male,91.27,blue,14
female,35.09,pink,17
male,64.87,blue,14
female,37.45,pink,19
female,13.18,purple,20
female,45.82,pink,42
male,26.47,blue,30
female,66.29,purple,18
female,62.81,green,45
male,51.07,red,14
male,44.9,purple,21
male,74.11,blue,16
female,71.99,yellow,15
female,100.1,green,23
male,46.62,yellow,14
female,49.87,purple,76
female,12.58,blue,17
male,41.67,blue,16
female,46.33,green,34
female,28.92,green,13
female,29.29,red,17
male,41.66,blue,24
female,0.0,yellow,16
male,42.37,blue,26
female,68.51,purple,18
female,38.24,purple,15
female,40.69,green,16
male,4.94,yellow,17
female,57.66,yellow,32
female,36.84,pink,30
female,72.62,red,32
male,69.81,blue,29
female,73.95,yellow,18
female,50.69,purple,15
male,62.97,purple,24
male,58.86,yellow,29
male,20.5,blue,40
female,38.93,purple,14
male,36.31,blue,18
female,52.67,yellow,18
male,13.69,blue,17
female,45.84,blue,18
female,33.55,red,27
female,80.9,pink,17
male,30.88,blue,26
male,18.73,purple,28
female,74.21,yellow,29
female,103.46,red,19
male,53.05,blue,25
female,18.68,purple,44
female,33.15,red,25
male,9.53,red,13
female,29.21,purple,17
female,60.96,purple,40
female,36.27,pink,13
female,7.6,red,16
female,22.79,pink,14
female,27.3,pink,15
female,25.39,blue,13
female,34.38,yellow,17
male,59.96,blue,14
male,60.01,blue,13
male,36.55,blue,20
female,107.67,purple,34
male,17.66,blue,17
female,64.28,blue,16
female,60.46,pink,80
female,33.17,pink,17
female,35.2,pink,13
female,26.47,purple,23
female,50.11,purple,22
female,66.08,yellow,16
male,57.93,blue,24
female,30.65,red,34
male,0.0,blue,16
female,60.27,blue,28
female,33.48,red,32
male,47.73,blue,29
male,59.23,red,17
female,51.39,purple,16
male,64.16,red,24
female,68.29,pink,60
male,69.31,purple,19
male,44.9,yellow,22
male,40.74,blue,21
female,62.66,purple,29
female,15.96,red,35
male,0.0,yellow,15
female,69.51,purple,33
female,40.47,yellow,19
female,40.42,purple,35
female,89.84,purple,28
female,40.13,blue,15
female,86.24,pink,29
female,38.49,green,18
female,45.39,pink,19
female,60.03,blue,16
male,22.94,blue,33
male,45.35,blue,36
male,63.24,blue,17
female,89.61,purple,23
male,70.53,blue,21
male,23.46,purple,22
male,52.63,blue,29
female,37.04,purple,20
male,93.37,blue,33
male,43.22,yellow,15
male,38.53,blue,16
male,71.31,purple,17
female,85.76,pink,45
female,32.91,pink,16
female,49.16,purple,49
female,90.87,purple,25
female,26.56,blue,30
male,42.62,yellow,17
male,75.47,red,15
female,55.86,red,15
female,3.43,green,15
male,37.58,yellow,19
male,31.26,blue,30
female,88.17,red,25
male,80.87,blue,44
male,84.07,blue,28
female,55.1,blue,14
male,70.88,blue,22
male,27.3,blue,22
male,116.45,blue,41
female,50.59,yellow,23
male,59.33,blue,21
female,64.72,yellow,18
female,44.77,purple,18
female,46.75,yellow,24
male,89.93,blue,19
male,0.0,blue,16
female,98.85,purple,17
male,72.45,blue,32
female,51.37,purple,24
female,19.96,pink,15
female,21.84,red,44
female,92.66,purple,39
female,105.64,purple,25
female,97.85,red,16
female,42.11,pink,29
female,39.57,green,20
male,22.39,blue,13
male,78.17,blue,31
female,97.68,yellow,16
female,33.81,purple,16
male,17.81,blue,18
female,85.23,blue,19
male,31.39,yellow,15
male,64.62,blue,13
male,39.79,blue,14
female,25.73,green,23
female,38.71,red,21
female,37.36,pink,31
male,57.77,blue,29
male,80.93,blue,36
female,16.01,purple,17
female,66.56,red,55
female,0.0,pink,16
female,13.66,purple,53
female,51.92,green,22
female,73.69,pink,36
female,86.29,purple,14
female,51.23,blue,18
female,1.86,yellow,39
female,29.83,purple,21
female,63.06,purple,32
female,67.91,green,17
female,37.58,green,36
male,64.44,blue,34
male,72.15,blue,38
male,54.77,red,17
female,14.01,purple,20
male,73.82,blue,14
male,51.83,blue,14
female,88.57,purple,23
male,56.52,red,14
male,57.33,red,29
female,78.37,green,15
male,52.06,blue,16
female,71.37,yellow,42
male,61.79,blue,15
female,50.43,red,21
female,64.45,pink,16
female,62.55,blue,40
female,62.78,green,17
male,16.29,blue,18
male,29.76,blue,23
female,70.01,pink,20
male,69.01,blue,14
male,86.29,blue,16
female,73.82,red,40
female,52.0,yellow,16
male,24.27,blue,16
male,72.3,blue,47
female,41.12,purple,26
female,50.11,purple,33
male,47.26,blue,19
male,72.33,blue,17
female,56.82,pink,29
male,48.11,purple,21
male,55.86,blue,20
female,58.15,blue,14
female,55.77,red,50
female,57.39,pink,33
male,34.26,blue,17
female,58.91,pink,23
female,23.84,red,15
female,43.3,yellow,26
female,23.94,pink,13
male,22.6,red,21
male,58.75,blue,21
female,14.92,green,14
male,54.63,yellow,29
male,58.75,blue,17
male,56.5,blue,19
male,86.66,blue,22
female,60.25,purple,19
female,50.58,purple,15
male,80.89,blue,29
male,50.38,blue,16
male,43.23,blue,23
female,29.6,yellow,28
female,73.92,pink,25
male,0.0,blue,14
female,40.57,yellow,27
male,30.79,red,36
male,66.34,blue,32
male,36.7,purple,17
female,32.05,green,22
female,30.08,green,13
male,43.77,red,24
male,18.53,blue,14
female,97.63,pink,30
male,6.2,purple,23
male,102.29,blue,16
female,8.86,red,22
female,45.95,pink,20
male,84.36,red,15
female,79.02,purple,21
female,58.98,purple,37
male,49.1,red,20
female,56.13,purple,36
female,45.89,red,33
female,57.64,blue,16
female,13.8,red,16
female,8.03,red,16
female,36.82,purple,19
male,53.13,blue,19
female,23.21,pink,45
female,39.63,red,19
male,82.09,blue,21
male,103.27,red,31
female,83.42,purple,29
male,35.42,red,21
female,64.81,pink,23
female,76.6,purple,15
male,84.56,red,17
male,41.23,blue,38
female,56.02,pink,16
female,37.37,purple,17
female,81.42,purple,51
male,91.87,blue,25
male,75.56,blue,33
female,93.85,red,36
female,39.62,yellow,19
male,22.66,red,16
female,60.16,purple,22
male,68.67,red,27
female,34.55,red,14
female,110.83,blue,49
male,8.69,purple,30
female,32.95,purple,18
male,77.54,blue,20
male,11.15,blue,19
female,5.95,yellow,18
female,38.82,purple,17
male,37.99,purple,15
female,26.55,pink,34
female,19.08,purple,21
female,53.72,purple,62
female,32.15,yellow,26
female,23.77,purple,29
male,53.2,purple,15
female,78.4,pink,39
female,6.21,pink,22
female,23.71,blue,15
male,95.0,blue,27
male,9.03,blue,17
female,51.76,purple,19
male,23.93,blue,17
male,74.37,yellow,18
male,61.46,blue,31
female,57.52,yellow,13
female,35.74,pink,18
male,29.42,blue,27
male,20.27,red,15
female,71.08,green,30
male,52.27,yellow,20
female,79.79,pink,36
female,66.6,green,55
female,91.13,pink,27
male,12.93,blue,16
female,72.4,green,14
female,84.25,purple,30
male,52.16,blue,18
female,48.34,blue,23
male,119.4,blue,50
male,48.36,blue,25
female,26.94,pink,15
female,72.27,pink,19
male,44.21,blue,16
female,33.97,red,16
female,53.31,yellow,16
male,17.07,red,16
female,41.85,pink,15
male,19.95,blue,13
male,43.74,blue,20
male,53.4,red,22
male,81.89,blue,27
female,41.46,blue,14
female,69.32,red,20
male,43.53,blue,22
female,67.4,pink,46
female,46.74,pink,13
male,35.78,blue,19
male,3.55,blue,14
female,63.95,pink,18
female,78.88,pink,17
female,74.44,yellow,20
female,40.18,purple,20
male,27.65,purple,26
male,82.57,blue,14
male,49.38,blue,13
male,66.52,yellow,16
male,32.4,blue,45
female,63.58,pink,22
male,62.35,yellow,23
male,76.92,blue,16
male,46.74,blue,22
female,61.59,purple,29
female,65.67,yellow,21
female,18.77,pink,37
male,73.04,yellow,21
male,101.27,yellow,20
female,97.42,green,42
male,62.13,blue,24
male,71.85,red,15
female,49.09,pink,23
male,40.31,blue,22
female,26.28,pink,28
female,16.02,pink,24
male,53.44,purple,17
female,16.67,yellow,16
female,37.66,blue,27
female,84.69,pink,25
male,54.45,purple,22
male,54.39,blue,29
female,51.62,purple,20
female,83.15,purple,13
female,50.98,yellow,13
female,69.2,purple,22
male,76.35,blue,15
female,30.44,pink,26
female,69.65,yellow,21
male,53.67,purple,22
male,81.8,blue,38
female,46.93,green,36
male,30.19,red,34
male,63.12,blue,18
male,27.38,blue,26
female,57.31,purple,25
female,80.72,pink,22
female,56.62,green,21
male,97.24,purple,23
female,48.8,red,13
male,64.36,yellow,27
female,70.19,pink,17
female,46.51,purple,16
male,126.16,red,18
female,39.17,purple,14
male,72.09,blue,33
female,54.95,blue,26
female,59.22,purple,36
female,54.94,pink,34
female,7.15,green,19
female,64.8,blue,15
female,52.18,green,31
female,36.86,green,13
female,45.78,pink,41
female,52.72,blue,23
male,45.66,purple,17
male,43.25,red,27
female,71.06,yellow,33
male,61.79,blue,21
male,19.88,yellow,18
female,25.62,pink,16
female,62.55,purple,20
female,70.02,green,13
male,78.38,red,40
female,51.78,yellow,17
male,41.28,yellow,15
female,98.32,red,33
female,35.91,yellow,67
male,22.16,blue,18
male,44.13,blue,29
female,65.46,purple,60
male,41.01,blue,25
male,34.2,yellow,17
female,64.72,green,14
female,26.6,pink,35
female,52.43,green,15
male,46.61,blue,22
male,42.6,blue,13
male,107.72,blue,16
female,20.32,pink,30
male,43.62,red,19
female,56.22,purple,30
male,56.87,red,18
male,57.64,blue,15
female,73.57,yellow,17
male,44.43,blue,21
female,49.92,pink,16
female,44.23,blue,25
female,59.16,purple,19
male,33.97,blue,18
female,37.77,red,16
female,22.52,red,25
female,42.86,purple,13
female,67.59,red,19
female,43.06,purple,21
female,52.07,pink,17
female,53.37,yellow,43
female,54.68,yellow,21
female,31.25,purple,21
male,52.44,yellow,46
female,12.59,purple,14
male,66.71,yellow,13
female,49.1,red,34
female,57.33,pink,14
male,23.6,blue,23
male,10.83,blue,28
female,77.01,yellow,30
male,0.0,yellow,16
female,85.12,green,27
female,40.46,purple,18
female,25.12,purple,20
female,52.21,yellow,19
female,68.04,purple,30
female,59.18,red,13
male,27.19,blue,36
male,79.37,blue,19
female,83.91,pink,17
male,67.93,red,14
female,46.45,pink,19
female,75.36,green,16
female,48.36,green,42
female,12.33,red,28
female,53.52,yellow,16
female,13.95,pink,15
female,74.07,purple,18
female,58.18,pink,16
female,53.37,purple,14
male,67.35,blue,22
male,58.09,blue,17
female,47.71,yellow,43
female,57.68,purple,15
male,67.68,yellow,26
male,34.37,blue,14
male,35.27,blue,18
female,15.89,red,16
male,33.4,red,40
male,51.77,blue,14
female,31.69,red,19
male,39.85,blue,40
male,58.91,purple,38
male,37.94,blue,17
male,47.76,blue,34
male,80.53,blue,14
female,72.32,pink,16
female,28.79,pink,34
male,47.7,purple,15
male,84.41,blue,30
female,60.39,red,19
female,56.25,yellow,21
male,35.55,yellow,14
female,66.11,pink,29
female,112.46,green,47
female,69.67,yellow,16
male,62.58,red,15
female,69.59,green,23
male,50.17,yellow,16
male,101.11,blue,24
male,45.79,blue,13
female,59.09,blue,17
male,31.82,blue,14
male,44.66,blue,19
male,48.15,blue,24
female,65.77,pink,24
male,50.95,red,23
male,86.26,yellow,13
female,70.63,pink,14
female,67.39,pink,51
female,14.87,pink,30
female,18.69,purple,17
male,8.91,blue,16
male,32.43,red,14
female,21.26,green,18
male,67.96,red,23
male,38.4,blue,21
male,55.29,purple,26
female,63.06,pink,41
female,54.65,yellow,21
male,78.46,blue,15
female,41.44,purple,35
female,43.23,pink,15
female,66.72,yellow,15
male,65.88,purple,16
female,61.55,red,19
female,52.79,purple,37
female,84.95,purple,22
female,76.73,purple,31
female,77.71,pink,37
female,23.35,green,18
female,66.56,pink,18
female,38.47,purple,51
female,38.83,red,18
female,23.07,pink,22
female,64.07,yellow,44
male,77.4,blue,15
male,81.47,red,13
male,102.25,blue,26
male,54.95,blue,24
male,59.81,red,18
male,69.84,yellow,16
male,80.49,red,14
female,78.6,pink,19
female,45.99,yellow,18
male,30.19,purple,19
female,14.25,yellow,16
male,58.25,red,16
male,34.72,purple,18
male,76.69,red,20
male,52.37,blue,42
female,106.02,purple,25
male,39.01,red,17
female,18.4,blue,26
female,43.37,purple,19
female,30.33,yellow,49
female,30.25,green,14
female,54.3,green,19
male,39.29,red,36
male,58.47,blue,19
male,67.91,red,23
male,55.31,blue,20
male,68.62,blue,14
male,22.83,blue,21
female,80.26,yellow,21
male,42.75,red,18
female,69.95,purple,36
female,35.39,green,23
male,6.6,blue,14
male,32.22,blue,24
male,66.22,red,18
female,43.88,purple,15
male,56.45,red,13
male,4.15,blue,15
male,78.67,blue,51
female,49.73,yellow,23
female,81.92,green,34
male,0.0,blue,16
male,22.3,blue,19
female,66.9,blue,38
female,12.79,pink,15
male,42.44,blue,13
female,24.6,red,13
male,75.94,blue,14
female,58.3,green,17
male,59.58,blue,43
male,53.54,blue,14
male,23.83,yellow,52
male,61.92,blue,14
female,21.18,blue,19
male,0.0,blue,18
male,30.87,blue,19
male,27.9,blue,23
female,91.23,purple,34
female,49.11,blue,21
male,17.78,red,15
female,26.68,purple,25
female,53.68,purple,30
male,56.51,blue,14
female,24.62,yellow,51
female,22.48,purple,13
female,6.75,blue,18
male,61.47,blue,15
female,78.83,green,18
male,19.66,blue,22
female,35.26,purple,15
male,59.83,blue,19
male,81.88,blue,35
male,70.18,yellow,14
male,38.08,yellow,19
male,15.54,blue,17
male,79.93,blue,18
male,57.41,red,17
male,55.17,red,19
female,82.02,pink,26
male,72.52,blue,38
female,9.62,purple,19
female,83.66,blue,17
male,57.54,red,14
female,77.43,pink,69
female,37.44,purple,15
male,74.81,blue,13
female,74.31,yellow,38
male,63.55,blue,13
female,80.61,green,46
female,55.52,green,34
male,81.09,blue,21
female,62.43,red,13
female,79.62,purple,29
female,76.32,purple,21
female,122.89,pink,47
male,44.63,red,21
male,24.59,yellow,15
female,43.82,blue,16
male,26.52,blue,21
female,22.85,purple,24
female,0.0,yellow,13
female,77.61,yellow,18
female,76.01,yellow,14
female,57.4,blue,19
female,64.25,pink,20
female,77.55,yellow,18
male,51.0,yellow,23
male,35.83,red,33
male,50.85,blue,42
female,61.84,purple,20
male,33.23,red,14
male,84.7,red,16
male,58.82,purple,19
male,49.42,blue,15
male,48.61,blue,15
female,97.91,green,56
male,36.61,red,16
male,75.64,red,26
male,60.8,red,31
male,78.45,blue,18
male,55.3,red,15
male,17.57,red,13
female,66.03,yellow,14
female,43.28,red,17
female,58.61,yellow,24
female,35.18,purple,17
male,37.89,blue,16
female,23.39,pink,21
male,104.01,blue,15
male,88.57,blue,17
female,60.97,red,36
female,65.04,blue,14
female,41.89,pink,29
female,94.33,purple,19
female,73.03,pink,13
male,47.29,blue,24
male,39.33,purple,17
female,41.26,yellow,20
female,70.96,pink,20
female,42.98,green,25
female,80.58,red,21
male,77.12,blue,28
female,86.91,blue,21
female,11.58,blue,16
female,0.0,purple,30
male,93.05,blue,14
female,118.8,red,16
female,68.96,yellow,15
female,34.72,blue,21
female,32.04,pink,21
male,62.72,blue,28
female,73.86,red,22
female,47.56,blue,15
female,81.96,purple,25
female,77.71,red,48
female,77.15,red,25
male,57.83,blue,14
female,28.16,pink,16
male,21.54,blue,20
male,34.98,yellow,30
male,48.42,blue,24
male,3.71,red,14
male,42.91,blue,29
male,40.4,blue,37
female,44.85,red,29
male,54.5,red,17
female,93.0,purple,27
other,43.41,yellow,14
male,61.44,yellow,27
female,110.67,pink,24
female,0.0,pink,38
female,59.56,pink,15
female,72.97,green,25
male,16.55,purple,16
male,62.0,red,20
female,5.27,green,20
male,82.5,blue,28
male,17.65,blue,25
female,25.53,green,25
female,33.17,purple,18
male,65.47,red,24
female,55.01,purple,19
male,61.61,red,26
female,50.86,purple,45
female,33.12,purple,14
male,41.61,blue,15
female,21.97,red,27
male,44.19,blue,24
female,94.15,yellow,39
male,23.58,purple,14
male,23.36,red,15
female,20.5,purple,30
female,33.44,purple,24
male,67.41,blue,15
male,39.29,blue,20
male,63.3,yellow,29
female,51.7,yellow,26
male,6.22,red,14
female,86.24,purple,33
male,43.6,blue,20
female,21.06,red,15
male,19.93,blue,16
female,26.94,pink,14
male,39.04,purple,20
male,61.75,purple,15
male,76.8,blue,26
female,81.74,purple,45
female,57.06,purple,14
male,79.97,purple,16
male,41.92,blue,16
female,71.46,red,14
male,14.06,blue,13
female,71.05,purple,31
female,51.96,green,20
male,17.53,blue,20
female,19.33,green,18
female,16.42,red,30
female,54.9,red,33
female,30.34,green,16
male,52.26,blue,26
female,79.13,pink,37
male,79.37,blue,31
male,61.71,red,19
male,67.41,blue,21
female,62.79,purple,32
male,109.28,red,21
female,73.35,red,19
female,36.51,pink,21
male,49.48,blue,26
male,21.8,blue,19
female,34.32,pink,18
female,89.68,purple,15
female,57.87,blue,13
male,11.79,blue,57
male,53.4,purple,25
female,62.02,red,24
